"Accident_Index","1st_Road_Class","1st_Road_Number","2nd_Road_Class","2nd_Road_Number","Accident_Severity","Carriageway_Hazards","Date","Day_of_Week","Did_Police_Officer_Attend_Scene_of_Accident","Junction_Control","Junction_Detail","Latitude","Light_Conditions","Local_Authority_(District)","Local_Authority_(Highway)","Location_Easting_OSGR","Location_Northing_OSGR","Longitude","LSOA_of_Accident_Location","Number_of_Casualties","Number_of_Vehicles","Pedestrian_Crossing-Human_Control","Pedestrian_Crossing-Physical_Facilities","Police_Force","Road_Surface_Conditions","Road_Type","Special_Conditions_at_Site","Speed_limit","Time","Urban_or_Rural_Area","Weather_Conditions","Year","InScotland"
"200501BS00025","A","3220","A","3220","Slight","None",2005-01-24,"Monday","1","Auto traffic signal","Crossroads",51.482076,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526930","177490",-0.173445,"E01002840",1,2,"0","0","Metropolitan Police","Frost or ice","Dual carriageway","None",30,"21:30","Urban","Fine no high winds",2005,"No"
"200501BS00028","C","0","Unclassified","0","Slight","None",2005-01-18,"Tuesday","2","Give way or uncontrolled","Crossroads",51.49296,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","527290","178710",-0.167824,"E01002858",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"17:25","Urban","Fine no high winds",2005,"No"
"200501BS00029","A","4","B","319","Slight","None",2005-01-29,"Saturday","1","Auto traffic signal","T or staggered junction",51.498062,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527380","179280",-0.166322,"E01002819",1,2,"0","5","Metropolitan Police","Wet or damp","Dual carriageway","None",30,"07:34","Urban","Fine no high winds",2005,"No"
"200501BS00031","C","0","Unclassified","0","Slight","None",2005-01-19,"Wednesday","1","Give way or uncontrolled","T or staggered junction",51.508265,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","523930","180330",-0.215629,"E01001944",1,1,"0","1","Metropolitan Police","Wet or damp","Single carriageway","None",30,"16:35","Urban","Raining no high winds",2005,"No"
"200501BS00032","B","450",NA,"0","Slight","None",2005-01-30,"Sunday","1","Data missing or out of range","Not at junction or within 20 metres",51.513988,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","524470","180980",-0.207623,"E01002874",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"20:00","Urban","Fine no high winds",2005,"No"
"200501BS00033","A","3220","A","3218","Slight","None",2005-01-29,"Saturday","3","Auto traffic signal","Crossroads",51.488671,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525570","178190",-0.192771,"E01002849",2,2,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"13:15","Urban","Raining no high winds",2005,"No"
"200501BS70001","A","4","C","0","Slight","None",2005-02-01,"Tuesday","1","Auto traffic signal","Crossroads",51.494902,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526240","178900",-0.182872,"E01002835",1,2,"0","5","Metropolitan Police","Wet or damp","Dual carriageway","None",30,"18:20","Urban","Raining no high winds",2005,"No"
"200501BS70002","B","319","Unclassified","0","Slight","None",2005-02-02,"Wednesday","1","Give way or uncontrolled","T or staggered junction",51.496893,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","527780","179160",-0.160606,"E01002863",1,2,"0","1","Metropolitan Police","Dry","Single carriageway","None",30,"07:25","Urban","Fine no high winds",2005,"No"
"200501BS70003","B","412","Unclassified","0","Serious","None",2005-02-01,"Tuesday","1","Give way or uncontrolled","Mini-roundabout",51.517796,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","523910","181390",-0.215545,"E01002878",2,2,"0","0","Metropolitan Police","Wet or damp","One way street","None",30,"17:30","Urban","Raining no high winds",2005,"No"
"200501BS70004","A","4207","C","0","Slight","None",2005-02-03,"Thursday","2","Give way or uncontrolled","T or staggered junction",51.521988,"Daylight","Westminster","Westminster","524870","181880",-0.201543,"E01002854",1,2,"0","1","Metropolitan Police","Dry","Single carriageway","None",30,"12:30","Urban","Unknown",2005,"No"
"200501BS70005","A","4","Unclassified","0","Slight","None",2005-02-12,"Saturday","1","Give way or uncontrolled","T or staggered junction",51.497103,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527250","179170",-0.168234,"E01002819",1,2,"0","4","Metropolitan Police","Wet or damp","Single carriageway","None",30,"09:55","Urban","Fine no high winds",2005,"No"
"200501BS70006","B","450","C","0","Slight","None",2005-02-03,"Thursday","1","Give way or uncontrolled","Crossroads",51.519986,"Daylight","Kensington and Chelsea","Kensington and Chelsea","524170","181640",-0.211712,"E01002909",2,2,"0","1","Metropolitan Police","Wet or damp","Single carriageway","None",30,"13:00","Urban","Raining no high winds",2005,"No"
"200501BS70007","C","0","Unclassified","0","Slight","None",2005-02-01,"Tuesday","1","Give way or uncontrolled","T or staggered junction",51.523585,"Daylight","Kensington and Chelsea","Kensington and Chelsea","523740","182030",-0.217769,"E01002906",1,4,"0","1","Metropolitan Police","Dry","Single carriageway","None",30,"13:02","Urban","Fine no high winds",2005,"No"
"200501BS70008","Unclassified","0","Unclassified","0","Slight","None",2005-02-03,"Thursday","1","Give way or uncontrolled","Crossroads",51.514951,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","523770","181070",-0.217674,"E01002880",2,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"22:55","Urban","Fine no high winds",2005,"No"
"200501BS70009","A","308",NA,"0","Slight","None",2005-02-03,"Thursday","1","Data missing or out of range","Not at junction or within 20 metres",51.478096,"Darkness - lights lit","Hammersmith and Fulham","Hammersmith and Fulham","525840","177020",-0.189301,"E01001921",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"17:30","Urban","Fine no high winds",2005,"No"
"200501BS70010","A","3220",NA,"0","Slight","None",2005-02-06,"Sunday","1","Data missing or out of range","Not at junction or within 20 metres",51.481804,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526940","177460",-0.173312,"",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"15:00","Urban","Fine no high winds",2005,"No"
"200501BS70011","A","4","A","3220","Slight","None",2005-02-05,"Saturday","1","Auto traffic signal","Crossroads",51.492652,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525040","178620",-0.200249,"E01002848",1,2,"0","5","Metropolitan Police","Dry","Dual carriageway","None",30,"21:25","Urban","Fine no high winds",2005,"No"
"200501BS70012","A","315",NA,"0","Slight","None",2005-02-03,"Thursday","1","Data missing or out of range","Not at junction or within 20 metres",51.500648,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525460","179520",-0.193882,"E01002816",1,2,"0","4","Metropolitan Police","Dry","Single carriageway","None",30,"12:41","Urban","Fine no high winds",2005,"No"
"200501BS70013","A","402","A","4204","Slight","None",2005-02-04,"Friday","1","Auto traffic signal","Crossroads",51.509377,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525410","180490",-0.194258,"E01002827",1,1,"0","5","Metropolitan Police","Dry","Single carriageway","None",30,"23:35","Urban","Fine no high winds",2005,"No"
"200501BS70014","B","302","Unclassified","0","Slight","None",2005-02-07,"Monday","1","Give way or uncontrolled","T or staggered junction",51.483999,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527570","177720",-0.16415,"E01002900",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"09:15","Urban","Fine no high winds",2005,"No"
"200501BS70016","A","4206",NA,"0","Slight","None",2005-02-12,"Saturday","1","Data missing or out of range","Not at junction or within 20 metres",51.509154,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525200","180460",-0.197293,"E01002884",1,1,"0","5","Metropolitan Police","Dry","Single carriageway","None",30,"13:25","Urban","Fine no high winds",2005,"No"
"200501BS70017","A","308","Unclassified","0","Slight","None",2005-02-08,"Tuesday","1","Give way or uncontrolled","T or staggered junction",51.488776,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526710","178230",-0.176346,"E01002910",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"20:00","Urban","Fine no high winds",2005,"No"
"200501BS70018","A","315",NA,"0","Slight","None",2005-02-16,"Wednesday","1","Data missing or out of range","Not at junction or within 20 metres",51.502177,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525860","179700",-0.188058,"E01002889",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"08:20","Urban","Fine no high winds",2005,"No"
"200501BS70019","Unclassified","0",NA,"0","Slight","None",2005-02-07,"Monday","1","Data missing or out of range","Not at junction or within 20 metres",51.4849,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526360","177790",-0.181542,"E01002912",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"11:30","Urban","Fine no high winds",2005,"No"
"200501BS70020","A","4","A","3218","Slight","None",2005-02-10,"Thursday","1","Give way or uncontrolled","T or staggered junction",51.495806,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","527020","179020",-0.171599,"E01002821",1,2,"0","0","Metropolitan Police","Wet or damp","Single carriageway","None",30,"18:10","Urban","Raining no high winds",2005,"No"
"200501BS70021","A","308",NA,"0","Slight","Other object on road",2005-02-12,"Saturday","1","Data missing or out of range","Not at junction or within 20 metres",51.485005,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526290","177800",-0.182546,"E01002912",1,1,"0","4","Metropolitan Police","Wet or damp","Single carriageway","Roadworks",30,"11:33","Urban","Fine no high winds",2005,"No"
"200501BS70023","A","3220","Unclassified","0","Slight","None",2005-02-13,"Sunday","1","Give way or uncontrolled","Crossroads",51.485515,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526020","177850",-0.186415,"E01002896",2,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"20:05","Urban","Fine no high winds",2005,"No"
"200501BS70025","Unclassified","0","Unclassified","0","Slight","None",2005-02-01,"Tuesday","1","Give way or uncontrolled","Crossroads",51.492515,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","527270","178660",-0.16813,"E01002862",1,2,"0","0","Metropolitan Police","Wet or damp","Single carriageway","None",30,"16:44","Urban","Raining no high winds",2005,"No"
"200501BS70027","A","4206","B","415","Slight","None",2005-02-17,"Thursday","2","Give way or uncontrolled","Other junction",51.509515,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525190","180500",-0.197423,"E01002884",1,2,"0","1","Metropolitan Police","Wet or damp","Single carriageway","None",30,"18:00","Urban","Raining no high winds",2005,"No"
"200501BS70028","A","3216",NA,"0","Slight","None",2005-02-04,"Friday","1","Data missing or out of range","Not at junction or within 20 metres",51.493527,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527960","178790",-0.158149,"E01002859",1,1,"0","1","Metropolitan Police","Dry","Single carriageway","None",30,"10:15","Urban","Fine no high winds",2005,"No"
"200501BS70029","B","450",NA,"0","Serious","None",2005-02-15,"Tuesday","1","Data missing or out of range","Not at junction or within 20 metres",51.521709,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","524100","181830",-0.212653,"E01002905",1,1,"0","1","Metropolitan Police","Dry","Single carriageway","None",30,"18:15","Urban","Fine no high winds",2005,"No"
"200501BS70030","A","3220","A","3217","Slight","None",2005-02-16,"Wednesday","1","Auto traffic signal","Crossroads",51.481575,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526360","177420",-0.181674,"E01002913",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"10:35","Urban","Fine no high winds",2005,"No"
"200501BS70031","B","412","Unclassified","0","Slight","None",2005-02-18,"Friday","1","Auto traffic signal","Crossroads",51.516656,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","524600","181280",-0.205645,"E01002831",1,1,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"17:36","Urban","Raining no high winds",2005,"No"
"200501BS70032","Unclassified","0","A","315","Slight","None",2005-02-15,"Tuesday","1","Give way or uncontrolled","T or staggered junction",51.501941,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525710","179670",-0.190229,"E01002889",1,1,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"16:05","Urban","Fine no high winds",2005,"No"
"200501BS70033","C","0","C","0","Slight","None",2005-02-10,"Thursday","1","Give way or uncontrolled","T or staggered junction",51.497911,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526450","179240",-0.179727,"E01002892",1,1,"0","1","Metropolitan Police","Wet or damp","Single carriageway","None",30,"13:56","Urban","Raining no high winds",2005,"No"
"200501BS70034","B","450","Unclassified","0","Slight","None",2005-02-16,"Wednesday","1","Give way or uncontrolled","Crossroads",51.518806,"Daylight","Kensington and Chelsea","Kensington and Chelsea","524220","181510",-0.211037,"E01002878",1,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"14:10","Urban","Fine no high winds",2005,"No"
"200501BS70036","Unclassified","0","Unclassified","0","Slight","None",2005-02-21,"Monday","3","Give way or uncontrolled","Mini-roundabout",51.49724,"Daylight","Kensington and Chelsea","Kensington and Chelsea","525430","179140",-0.194449,"E01002813",1,2,"0","0","Metropolitan Police","Dry","Roundabout","None",30,"10:10","Urban","Fine no high winds",2005,"No"
"200501BS70037","Unclassified","0","Unclassified","0","Slight","None",2005-02-20,"Sunday","1","Give way or uncontrolled","T or staggered junction",51.506807,"Daylight","Kensington and Chelsea","Kensington and Chelsea","524430","180180",-0.208481,"E01002871",1,1,"0","0","Metropolitan Police","Wet or damp","Single carriageway","None",30,"14:50","Urban","Raining no high winds",2005,"No"
"200501BS70038","A","3220",NA,"0","Slight","None",2005-02-22,"Tuesday","1","Data missing or out of range","Not at junction or within 20 metres",51.481822,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526860","177460",-0.174463,"E01002840",1,3,"0","0","Metropolitan Police","Wet or damp","Dual carriageway","None",30,"14:43","Urban","Fine no high winds",2005,"No"
"200501BS70039","A","3220","Unclassified","0","Slight","None",2005-02-21,"Monday","1","Give way or uncontrolled","T or staggered junction",51.49164,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525150","178510",-0.198704,"E01002848",2,2,"0","4","Metropolitan Police","Dry","Single carriageway","None",30,"17:20","Urban","Fine no high winds",2005,"No"
"200501BS70040","A","3220",NA,"0","Slight","None",2005-02-20,"Sunday","1","Data missing or out of range","Not at junction or within 20 metres",51.494121,"Daylight","Kensington and Chelsea","Kensington and Chelsea","524900","178780",-0.202208,"E01002814",1,2,"0","5","Metropolitan Police","Dry","One way street","None",30,"12:40","Urban","Fine no high winds",2005,"No"
"200501BS70041","A","315",NA,"0","Slight","None",2005-02-20,"Sunday","1","Data missing or out of range","Not at junction or within 20 metres",51.501596,"Daylight","Westminster","Westminster","527650","179680",-0.16229,"E01004689",2,1,"0","4","Metropolitan Police","Dry","Single carriageway","None",30,"13:55","Urban","Fine no high winds",2005,"No"
"200501BS70042","A","308",NA,"0","Slight","None",2005-02-26,"Saturday","1","Data missing or out of range","Not at junction or within 20 metres",51.494146,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","527210","178840",-0.168929,"E01002821",2,2,"0","0","Metropolitan Police","Dry","Single carriageway","None",30,"22:25","Urban","Fine no high winds",2005,"No"
"200501BS70043","C","0","Unclassified","0","Slight","None",2005-02-28,"Monday","1","Give way or uncontrolled","Crossroads",51.491273,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525990","178490",-0.186618,"E01002836",1,4,"0","0","Metropolitan Police","Wet or damp","Single carriageway","None",30,"18:14","Urban","Fine no high winds",2005,"No"
"200501BS70044","A","3217","A","3220","Slight","None",2005-02-24,"Thursday","1","Auto traffic signal","Crossroads",51.481575,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526360","177420",-0.181674,"E01002913",1,2,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"16:30","Urban","Fine no high winds",2005,"No"
"200501BS70045","C","0","Unclassified","0","Slight","None",2005-03-01,"Tuesday","1","Give way or uncontrolled","T or staggered junction",51.487215,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526860","178060",-0.174248,"E01002910",1,1,"0","0","Metropolitan Police","Wet or damp","Single carriageway","None",30,"19:00","Urban","Raining no high winds",2005,"No"
"200501BS70046","Unclassified","0",NA,"0","Slight","None",2005-02-23,"Wednesday","1","Data missing or out of range","Not at junction or within 20 metres",51.508707,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","524780","180400",-0.203363,"E01002883",1,1,"0","4","Metropolitan Police","Dry","Single carriageway","None",30,"17:13","Urban","Fine no high winds",2005,"No"
"200501BS70047","A","4","C","0","Slight","None",2005-02-26,"Saturday","1","Give way or uncontrolled","Crossroads",51.495084,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526230","178920",-0.183009,"E01002887",1,2,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"17:00","Urban","Raining no high winds",2005,"No"
"200501BS70048","A","3212","C","0","Slight","None",2005-02-24,"Thursday","1","Auto traffic signal","T or staggered junction",51.482582,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527080","177550",-0.171264,"E01002844",1,2,"0","0","Metropolitan Police","Wet or damp","Dual carriageway","None",30,"09:15","Urban","Snowing no high winds",2005,"No"
"200501BS70049","A","308","C","0","Slight","None",2005-02-25,"Friday","1","Give way or uncontrolled","Crossroads",51.486931,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526520","178020",-0.179156,"E01002911",1,1,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"00:11","Urban","Raining no high winds",2005,"No"
"200501BS70050","A","402","A","4204","Slight","None",2005-02-23,"Wednesday","1","Give way or uncontrolled","T or staggered junction",51.509125,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525330","180460",-0.195421,"E01002827",1,3,"0","5","Metropolitan Police","Dry","One way street","None",30,"19:00","Urban","Fine no high winds",2005,"No"
"200501BS70051","A","3220","Unclassified","0","Slight","None",2005-02-26,"Saturday","1","Give way or uncontrolled","T or staggered junction",51.493285,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","525430","178700",-0.194606,"E01002851",1,1,"0","0","Metropolitan Police","Wet or damp","One way street","None",30,"01:48","Urban","Other",2005,"No"
"200501BS70052","Unclassified","0",NA,"0","Slight","None",2005-02-23,"Wednesday","1","Data missing or out of range","Not at junction or within 20 metres",51.499569,"Daylight","Kensington and Chelsea","Kensington and Chelsea","524240","179370",-0.211503,"E01002867",1,1,"0","0","Metropolitan Police","Snow","Single carriageway","None",30,"07:58","Urban","Snowing no high winds",2005,"No"
"200501BS70053","B","304","C","0","Slight","None",2005-02-25,"Friday","1","Auto traffic signal","More than 4 arms (not roundabout)",51.49369,"Daylight","Kensington and Chelsea","Kensington and Chelsea","526840","178780",-0.174277,"E01002822",1,1,"0","5","Metropolitan Police","Wet or damp","Single carriageway","None",30,"14:55","Urban","Fine no high winds",2005,"No"
"200501BS70054","A","3217","Unclassified","0","Slight","None",2005-02-25,"Friday","1","Give way or uncontrolled","T or staggered junction",51.490178,"Daylight","Kensington and Chelsea","Kensington and Chelsea","527670","178410",-0.162461,"E01002861",1,2,"0","1","Metropolitan Police","Wet or damp","Single carriageway","None",30,"08:22","Urban","Snowing no high winds",2005,"No"
"200501BS70055","A","4","Unclassified","0","Slight","None",2005-02-25,"Friday","1","Give way or uncontrolled","T or staggered junction",51.494981,"Darkness - lights lit","Kensington and Chelsea","Kensington and Chelsea","526290","178910",-0.182149,"E01002835",1,1,"0","5","Metropolitan Police","Wet or damp","Dual carriageway","None",30,"04:38","Urban","Snowing no high winds",2005,"No"
